,userid,geometry_x,geometry_y
0,133B2054B51068B0012D3E4431FA91B0,POINT (-1.90775 52.53484),POINT (-1.86398 52.54738)
1,FF7862D19A2E1167C956D9663F9D219F,POINT (-1.95647 52.46559),POINT (-1.82127 52.56909)
2,CE5DDA66DA2C24D63E29DBCDF9789B26,POINT (-1.85448 52.47673),POINT (-1.83475 52.47586)
3,5D898DCA8D8D5F16E5F36CEB2BB599B0,POINT (-1.92846 52.44052),POINT (-1.93103 52.45145)
4,9FA1AF84057B46CCE63FEF518C23FD5F,POINT (-1.87449 52.45681),POINT (-1.82292 52.43454)
5,6DE86B6C15ED99C24ECED2676EDE32D7,POINT (-1.89877 52.53937),POINT (-1.90535 52.53975)
6,E9699DCC2C6AEFC136DA1EF6F3BA6D8A,POINT (-1.87731 52.45147),POINT (-1.87924 52.47109)
7,4C86C021DA7225FB59527BC89C1A542A,POINT (-1.86837 52.50772),POINT (-1.8492 52.5238)
8,C0FD54393FA409B0D318CC07C8764A96,POINT (-1.97896 52.38828),POINT (-1.96831 52.40095)
9,BA86AF9D53A245F59833300813D6B2C8,POINT (-1.97537 52.41833),POINT (-1.97246 52.42278)
10,7D18B189E56BF14332FCB9C577F9B021,POINT (-1.83243 52.53124),POINT (-1.92395 52.51609)
11,9BABC8737789564FB170DAEDFA811569,POINT (-1.87686 52.44895),POINT (-1.88747 52.46815)
12,CB53EE9B284DBAED4337E99C76714678,POINT (-1.96019 52.39225),POINT (-1.96909 52.40169)
13,2E203D935F41591F745426D7EFE3E46A,POINT (-1.86233 52.42245),POINT (-1.88646 52.47525)
14,F0C5D293D5781F7DDBAFEFB51406F580,POINT (-2.00543 52.4523),POINT (-1.92073 52.47029)
15,E82B2889DD5A95E31707CB1CF9709468,POINT (-1.89791 52.49612),POINT (-1.90046 52.49594)
16,684B2784BC4D5D9E82FB7827460CAFC1,POINT (-1.89 52.48516),POINT (-1.8917 52.48269)
17,D161F0F00E12B57FCCD28D7329F446D5,POINT (-1.78172 52.46759),POINT (-1.77753 52.4683)
18,73876A7836E1AF3964A102489840E865,POINT (-1.91002 52.43509),POINT (-1.91881 52.43675)
19,D55B86949CAD7B1442F06D149BD5BCDB,POINT (-1.81227 52.49401),POINT (-1.81226 52.49401)
20,A539CA145E5C730B0B0676AEBF922242,POINT (-1.96979 52.43196),POINT (-1.93912 52.45343)
21,AEC258984D69FD4F9F9FD9BC257DA8CB,POINT (-1.82922 52.53273),POINT (-1.82822 52.53322)
22,5693FF0D6871B7C0538ECD86AB294EA6,POINT (-1.8096 52.57308),POINT (-1.79652 52.5617)
23,37B764E5A18D7B65FD065A6536F072C3,POINT (-1.84696 52.41739),POINT (-1.84825 52.42297)
24,BE12B6744C1CDF44F571BB4CC2C601B5,POINT (-1.77246 52.54747),POINT (-1.92707 52.47907)
25,643F1317AB63FB6A779F88FA4C0D4F63,POINT (-1.80388 52.56696),POINT (-1.81944 52.55863)
26,1CB2BA8A3942AD571E1AAD3DAB38EEC1,POINT (-1.88667 52.45389),POINT (-1.88656 52.45388)
27,9ABD765DBD5B124D5756B011EEBB279B,POINT (-1.84922 52.52474),POINT (-1.78696 52.45293)
28,C788A8A9255540017985DB13D1B0C169,POINT (-1.98224 52.41227),POINT (-1.88829 52.44641)
29,EBFBD24AD2A449FBD6DB7814FD4A8FFF,POINT (-1.941 52.51089),POINT (-1.94644 52.50551)
30,659F1D08196A1A18CC55CC850AC03176,POINT (-1.82179 52.4395),POINT (-1.89956 52.48045)
31,1B4E94F2BDEDAF2BBDEF023777E63057,POINT (-1.83419 52.43576),POINT (-1.87748 52.46829)
32,BB35D06910483611CF0CEB057267AD59,POINT (-1.88186 52.43839),POINT (-1.82721 52.43206)
33,B5394405A5A2A88C000662A9D7D68C23,POINT (-1.91868 52.47855),POINT (-1.91315 52.47737)
34,A5EDE5916DBA7397325869AC3A38982D,POINT (-1.92368 52.51739),POINT (-1.81362 52.56728)
35,C88F744FCBB443C3E4FE74C54848A8CF,POINT (-1.8454 52.48435),POINT (-1.9152 52.44539)
36,D5CCC1304ED0AE3682BFE8246DE376F9,POINT (-1.97948 52.40801),POINT (-1.98536 52.39901)
37,69B0FE9CF0EE8DC4D7AAF25E417087D1,POINT (-1.8659 52.52478),POINT (-1.86192 52.52253)
38,A0D87648B4CAA1F0D439DC606E094178,POINT (-1.8619 52.44374),POINT (-1.86961 52.45711)
39,30E3DF0F55D047B7FF2E83C81FBC4CA3,POINT (-1.84269 52.51321),POINT (-1.7808 52.53251)
40,EC3C6F2489CC3FCC924755BE5837E515,POINT (-1.9231 52.46362),POINT (-1.92722 52.44913)
41,276DC59AF4ABC6A31EB3FEE5ACBFE6DE,POINT (-1.8318 52.59556),POINT (-1.82983 52.55437)
42,5E6DCC1304494D9771E1EB3744197980,POINT (-1.77321 52.49593),POINT (-1.8916 52.47648)
43,EFB72BB56685E2DA5251D1185331CE3D,POINT (-1.88013 52.56064),POINT (-2.00964 52.44276)
44,74538E0A6B16E8406678090A3636D06C,POINT (-1.97386 52.39783),POINT (-1.96341 52.41905)
45,B8ACA876F5A4AB807B33E798E20B42E6,POINT (-1.97037 52.42942),POINT (-1.90763 52.483)
46,2DCF2D4C7DBCB1123C7399A1E8AB2254,POINT (-1.83181 52.4413),POINT (-1.89184 52.47772)
47,56597AF31E949EEFE1A84C512C2BF232,POINT (-1.87039 52.44871),POINT (-1.81407 52.47809)
48,F17B66740DD985014D57DF01DC416BE0,POINT (-1.78604 52.56146),POINT (-1.79764 52.5619)
49,1EC6BE13BC3299ECC1B4E82BB53EC044,POINT (-1.836 52.54108),POINT (-1.81082 52.54723)
50,78B77F6D6947180ECEAD0C3ED5F52B81,POINT (-1.84702 52.53076),POINT (-1.83047 52.53022)
51,6CEC6CBAED43271B908CE04ACD91F2FC,POINT (-1.94095 52.41887),POINT (-1.94635 52.43801)
52,460544E0ACC55F80636C01793B6F4EB3,POINT (-1.93757 52.42962),POINT (-1.76391 52.47359)
53,BAB7C26C954A7A5986354CF05A0C743F,POINT (-1.84618 52.54723),POINT (-1.94209 52.45325)
54,7C72BEE09BFBBBA36813DA8A5EAB9799,POINT (-1.94453 52.4859),POINT (-1.82969 52.49546)
55,100B80716E21E6D1295D8849F8E41D7C,POINT (-1.93413 52.44673),POINT (-1.93105 52.45173)
56,75C5C1CF12FE07659E2997154435ECF1,POINT (-1.86297 52.5037),POINT (-1.85438 52.48528)
57,AAF818F7501A48DBC4171AAFE42A9445,POINT (-1.95701 52.46722),POINT (-1.93538 52.46466)
58,2F676D6495DE52C963CBDF8E92A92FE8,POINT (-1.91094 52.41363),POINT (-1.92947 52.41613)
59,B65AA18BAF738525069898FA40D85C71,POINT (-1.98886 52.39962),POINT (-1.98369 52.39613)
60,7B0B89B95B5962B1690BAFF5BBF0ED3B,POINT (-1.78324 52.47273),POINT (-1.76271 52.47375)
61,C04AF5C69B19C9CD206FC7956476FB3B,POINT (-1.99647 52.45564),POINT (-1.9655 52.43582)
62,1AF3C14DB6F06E92121D65A53417AF77,POINT (-1.93425 52.40936),POINT (-1.94305 52.45218)
63,8557D988E4022529C28764EC397A8D19,POINT (-2.00986 52.39506),POINT (-1.96853 52.4011)
64,C808B6F247D746292F3EC516108AC3FB,POINT (-1.87476 52.43875),POINT (-1.94168 52.42122)
65,3C6573DCF346421908E94EF73BF5FBAD,POINT (-1.95064 52.47351),POINT (-1.93759 52.46553)
66,3AD9D1982CD3CAF1B525D88F14A560B0,POINT (-2.02658 52.40287),POINT (-1.90824 52.4765)
67,7EB8A1E20F47BFB0FF36C69A435F9E81,POINT (-1.79455 52.46332),POINT (-1.78493 52.45566)
68,94F8264DE38A2E537CF8F5B84BE1876E,POINT (-1.83084 52.4442),POINT (-1.8374 52.44166)
69,80591645FEC8E4CE024741ADDDFD3FD2,POINT (-1.89018 52.50485),POINT (-1.89016 52.50483)
70,8B121C472D2C42BD0658367E3D0C4EB4,POINT (-1.80074 52.5676),POINT (-1.79311 52.5494)
71,D183C8137381F3AE0AE44422C4894B59,POINT (-1.9 52.41693),POINT (-1.90058 52.41932)
72,7FD02B1095F03B9CFB9287D6469813CF,POINT (-1.81686 52.56571),POINT (-1.84145 52.54867)
73,364C4E0B485A9640D57FDE9D947D3303,POINT (-1.84863 52.41212),POINT (-1.87557 52.54117)
74,FBD18B97BED57D792D5C948692C20945,POINT (-1.90601 52.45416),POINT (-1.91351 52.44744)
75,A02E3B86C089A765AA06104F39F747A7,POINT (-1.82033 52.51996),POINT (-1.89742 52.48363)
76,9C6AD9FD2D0469AAB78F8553BA739DFC,POINT (-1.81424 52.5911),POINT (-1.80807 52.58993)
77,8E0AE166E06B812F1F6FA90EE3692B48,POINT (-1.82091 52.56213),POINT (-1.82672 52.47652)
78,6139757C1FC837225A992E1BE1E28789,POINT (-1.8302 52.47096),POINT (-1.83995 52.46456)
79,EBD594F1E82EEE683182F99A18AB4DDD,POINT (-1.8042 52.49221),POINT (-1.88219 52.48287)
80,0452C8C692890791D3231B25A125A142,POINT (-1.81691 52.57559),POINT (-1.84181 52.54856)
81,45F493D9ECD2BABC3E358B482C3FEFB0,POINT (-1.85055 52.53324),POINT (-1.89496 52.52647)
82,0A67E0D7C9511AD200C0A8127EE6E5C0,POINT (-1.84032 52.53501),POINT (-1.81982 52.56911)
83,9443EA38442EABA8261F2FB4D27F9F16,POINT (-1.95209 52.50661),POINT (-1.93157 52.48908)
84,1E3001575B5DEB923AA3F785ABCB7036,POINT (-1.78172 52.47052),POINT (-1.85844 52.41709)
85,F3FF18C918ECFFFD89D5DB2C5E434A28,POINT (-1.7614 52.49962),POINT (-1.78023 52.47488)
86,895D8051425A8CAA01ABA508591D9A01,POINT (-1.9945 52.41238),POINT (-1.81251 52.48917)
87,704D2E1A8CA94A0CDB6B9EE9CEA09D74,POINT (-1.78026 52.45332),POINT (-1.90176 52.474)
88,967671B1E17341EDD0264E6E7D9C392D,POINT (-1.83672 52.4426),POINT (-1.85984 52.4526)
89,A075C0B340EF2A8A291E59D7299092CB,POINT (-1.82475 52.56614),POINT (-1.89916 52.48046)
90,F2917218BBE7348CC263030363E6C37B,POINT (-1.89072 52.48535),POINT (-1.88973 52.48723)
91,5556FA0542FA0CE0C3DB01A5E280F876,POINT (-1.7892 52.47176),POINT (-1.87853 52.46957)
92,428EB96A38848933988CDD1FF899DE19,POINT (-1.89478 52.4889),POINT (-1.91076 52.53026)
93,3EF37C6523D9106A286C9B48DA5DC078,POINT (-1.96883 52.42465),POINT (-1.96446 52.41228)
94,B73BEC237899C4A0495E5D472A2994C9,POINT (-1.90614 52.52432),POINT (-1.89983 52.50365)
95,2362D5BD90505312A0737FA541B42A06,POINT (-1.98547 52.41266),POINT (-1.99605 52.44543)
96,5E417D998349D65C164191D47DA728DB,POINT (-1.96104 52.44548),POINT (-1.94729 52.43562)
97,FE4BD5F54FA2D64846009021E42EF799,POINT (-1.96701 52.43231),POINT (-1.88614 52.46392)
98,81CF52DE7EB40ABD9F8B2A17151DC4D2,POINT (-1.93322 52.4237),POINT (-1.93739 52.41875)
99,C0672A8A4DC2A54D5C72EDA461975428,POINT (-1.80082 52.48587),POINT (-1.78917 52.48409)
