,userid,geometry_x,geometry_y
0,A7473A8F2C12F7092D3627E97D45F2FF,POINT (-1.50282 52.44485),POINT (-1.43949 52.40053)
1,BB4B6CA96081B1C204894BEF4FB8872E,POINT (-1.49909 52.4309),POINT (-1.50023 52.43114)
2,A4283AAF134E8BF40888798ECF545BDA,POINT (-1.49819 52.43381),POINT (-1.49826 52.43379)
3,03689E3FDFC0F35F70ECE5D5A0D9D9DF,POINT (-1.46223 52.43814),POINT (-1.50167 52.3881)
4,9C49849C3E93404374168A92EE168675,POINT (-1.55538 52.43689),POINT (-1.55232 52.37461)
5,1AAE59B496AFA0CAEB1273CDD68E2A8B,POINT (-1.47408 52.42547),POINT (-1.57135 52.40076)
6,0EF4AB17FB4C6AE3A3B5330E10FA8857,POINT (-1.51456 52.44871),POINT (-1.52602 52.44624)
7,389315F6A2FF4531153A06AB9A8D1F0A,POINT (-1.49939 52.40348),POINT (-1.49611 52.40394)
8,38202BC55296D4F55177A1C207219F0A,POINT (-1.54136 52.41981),POINT (-1.5437 52.42946)
9,ADBF3CA1F55650F14422B274229DA0CC,POINT (-1.51662 52.37708),POINT (-1.53485 52.42157)
10,246730B65D5BE1C542B89FDB0E115497,POINT (-1.58725 52.41318),POINT (-1.59374 52.38989)
11,AB9BD362E3ED7571B17BD05E6E79781C,POINT (-1.46747 52.43934),POINT (-1.49092 52.38444)
12,E89333E26955C0A697C667C5AFA7B2D5,POINT (-1.52052 52.42602),POINT (-1.49059 52.40164)
13,29BFE1507F20CDF843C01C25622BBBB3,POINT (-1.50743 52.42646),POINT (-1.51655 52.41543)
14,094F3BA43A7F8CEA3D15814F755B7867,POINT (-1.57578 52.42635),POINT (-1.4971 52.44902)
15,B88E8E307D39F336828117E837A22899,POINT (-1.48859 52.41969),POINT (-1.46421 52.43974)
16,C57AC96BA9D279DE90130EEEB2A8508D,POINT (-1.48707 52.40935),POINT (-1.5006 52.40608)
17,3723C8E56E0FB3B115C6397EE9687FB1,POINT (-1.46942 52.39957),POINT (-1.48678 52.38643)
18,7F8E4980EDBBBB26316B393F57096E0B,POINT (-1.5661 52.44247),POINT (-1.47605 52.41912)
19,B8A9DCF8B6FE259C54F685B06741D110,POINT (-1.45252 52.38674),POINT (-1.48685 52.38625)
20,4E569BA48289BEB39AFDD78F0CEF7910,POINT (-1.52052 52.37958),POINT (-1.49136 52.4258)
21,FFE97DAF873F2576511170A0255A5290,POINT (-1.46097 52.4087),POINT (-1.45114 52.4135)
22,FAF1D69C2AAA42938029BE7EC98327FB,POINT (-1.51184 52.44088),POINT (-1.51003 52.43869)
23,C6D8097D29A6D47B607FCBC8549DEE59,POINT (-1.54473 52.42238),POINT (-1.53869 52.40947)
24,A38552130388FF3809EB8107F3F9637D,POINT (-1.48171 52.44375),POINT (-1.48876 52.44392)
25,9D0DBBFC2C969A30FF0B902F5AE878DE,POINT (-1.52217 52.4183),POINT (-1.46261 52.41602)
26,61234BB70DD46CF5ACA0F3C81E865CF9,POINT (-1.53418 52.40828),POINT (-1.51367 52.41633)
27,DE96DB43552CAF9C7777604265127F1C,POINT (-1.53516 52.39691),POINT (-1.53157 52.39247)
28,52A22B02E3D906DB5632FB0564452115,POINT (-1.51635 52.4241),POINT (-1.53535 52.44221)
29,AAC78FC28DBED532396974141AEA6424,POINT (-1.47572 52.42119),POINT (-1.43688 52.42168)
30,2E28D00B354A131D969FF95B50A0790C,POINT (-1.51408 52.42079),POINT (-1.52793 52.42294)
31,B4FCC47A5FFFC097E021D0245CB1676E,POINT (-1.56384 52.40053),POINT (-1.46487 52.38258)
32,2ABA98B98252469B27B9D569732895B4,POINT (-1.51598 52.44033),POINT (-1.51554 52.4314)
33,E7A3C17D6D97B4B9F5D81AF6EC8BDCED,POINT (-1.49691 52.43027),POINT (-1.48098 52.43944)
34,DCFA26BC7B08C861DEF339B20180E233,POINT (-1.46521 52.41354),POINT (-1.43281 52.42936)
35,B1DDC0177C7FD16317E39A82DBF71996,POINT (-1.55054 52.40911),POINT (-1.51073 52.37681)
36,A368532C3C6D5E58866DE69DBCC2C6DB,POINT (-1.45392 52.39417),POINT (-1.46467 52.41195)
37,5AE555D66BD293B138725E48D3D6B438,POINT (-1.43576 52.43124),POINT (-1.46465 52.43726)
38,6FC8AC95FD0666F38E73B6FB02FB73C7,POINT (-1.5114 52.4119),POINT (-1.55799 52.37784)
39,77C26778FFC25BD700F7889A2F20F7AF,POINT (-1.44099 52.41705),POINT (-1.48555 52.44025)
40,EEC18E838E67585E95367351C0923E6E,POINT (-1.47756 52.41822),POINT (-1.43915 52.40837)
41,7BDE53B98F1EFB772B6D57CD0F5C4677,POINT (-1.45331 52.41636),POINT (-1.50369 52.37861)
42,F7430DB15D71695420FB494A4A126610,POINT (-1.59003 52.43825),POINT (-1.54063 52.41697)
43,B9B95F2B2657F274DA10D90390D009A2,POINT (-1.52381 52.38452),POINT (-1.4993 52.4275)
44,2DA80C99423F58363D6A1728BAE70D58,POINT (-1.5243 52.38643),POINT (-1.5036 52.42007)
45,7F2C4CFBB9FFFDAAB2EB4FAA0FC35E27,POINT (-1.48822 52.39102),POINT (-1.48514 52.39126)
46,5AD8B3D29901F055FECE2165F54D4418,POINT (-1.49205 52.4118),POINT (-1.4887 52.41753)
47,010BA1DECA6F2A6C0E2C0072304FB0CE,POINT (-1.52648 52.44707),POINT (-1.53054 52.41504)
48,83B1C38B0738E2EC2E0EE209D66B15E5,POINT (-1.46823 52.42736),POINT (-1.47842 52.42931)
49,0F237130860A630B49F19DD0C5D587CB,POINT (-1.51922 52.3781),POINT (-1.51115 52.40727)
50,11D6DE26988A5B73C2741699DECF0958,POINT (-1.47857 52.45271),POINT (-1.49321 52.45032)
51,B4B0E49887006B7CA33370071749B68A,POINT (-1.52185 52.41667),POINT (-1.50116 52.39704)
52,1F237258AC8FEDC14DD257381B0F5CC3,POINT (-1.51243 52.44967),POINT (-1.52859 52.4149)
53,235F3B8B53E794320AAD9C2C0C61BF29,POINT (-1.54636 52.41539),POINT (-1.56262 52.41742)
54,DB451A670B5CBF7D8392AB67B791F9C6,POINT (-1.48186 52.39876),POINT (-1.56292 52.38289)
55,384E209DB71E3288B813D80A64974E15,POINT (-1.50441 52.42801),POINT (-1.4705 52.42422)
56,3B466BAA8F511D02387798DDD8700735,POINT (-1.52142 52.41689),POINT (-1.50821 52.43997)
57,32198F8ABC2C74656D556F1ACFFB6556,POINT (-1.46354 52.45324),POINT (-1.47965 52.45338)
58,B8BF468E5DE216BD583A40AEC98D59C6,POINT (-1.48498 52.43848),POINT (-1.49239 52.39981)
59,4BA4A89EFBB04637AE735E83D15C52E9,POINT (-1.59784 52.41831),POINT (-1.55881 52.40703)
60,725BA66DEDF855B42E380CFED14DD39A,POINT (-1.50391 52.41751),POINT (-1.50341 52.41214)
61,ED799FAD638F3DE7B6810F52B56B3BFA,POINT (-1.44335 52.40703),POINT (-1.56079 52.38072)
62,D68DBA9BB32ED20CE2075523CB78C10E,POINT (-1.52915 52.4358),POINT (-1.47137 52.39265)
